; 京剧专有词典（jieba.load_userdict 格式）
; 格式：词语 词频 词性
; 词性参考: nz=专名 nr=人名 ns=地名 n=名词 v=动词 a=形容词 i=成语 d=副词
;
; 注意：词频建议 >=5，过低会被 jieba 默认词典覆盖；专名建议 10+。

; ═════════════════════════════════════════════
; 1. 经典剧名（完整保留，不可切分）
; ═════════════════════════════════════════════
空城计 50 nz
四郎探母 50 nz
贵妃醉酒 50 nz
霸王别姬 50 nz
龙凤呈祥 50 nz
穆桂英挂帅 50 nz
赵氏孤儿 50 nz
红鬃烈马 50 nz
锁麟囊 50 nz
打渔杀家 50 nz
玉堂春 50 nz
秦香莲 50 nz
将相和 50 nz
野猪林 50 nz
三岔口 50 nz
白蛇传 50 nz
赤壁之战 50 nz
定军山 50 nz
李陵碑 50 nz
拾玉镯 50 nz
黄鹤楼 50 nz
取成都 50 nz
草船借箭 50 nz
群英会 50 nz
连环套 50 nz
铁笼山 50 nz
甘露寺 50 nz
长坂坡 50 nz
华容道 50 nz
博望坡 50 nz
三气周瑜 50 nz
六出祁山 50 nz
失街亭 50 nz
斩马谡 50 nz
凤还巢 50 nz
打金枝 50 nz
苏三起解 50 nz
玉门关 50 nz

; ═════════════════════════════════════════════
; 2. 三国典型人物
; ═════════════════════════════════════════════
诸葛亮 80 nr
诸葛 60 nr
孔明 60 nr
卧龙 40 nr
卧龙岗 40 ns
卧龙先生 50 nr
水镜 40 nr
水镜先生 50 nr
司马徽 50 nr
玄德 40 nr
皇叔 30 n
司马懿 80 nr
司马 40 nr
曹操 80 nr
曹丞相 40 nr
曹兵 30 n
周瑜 80 nr
周郎 50 nr
公瑾 40 nr
鲁肃 60 nr
甘宁 60 nr
吕蒙 60 nr
陆逊 60 nr
孙权 60 nr
孙策 60 nr
吴侯 30 nr
吴主 30 nr
刘备 80 nr
刘璋 60 nr
刘禅 60 nr
刘玉 30 nr
刘封 60 nr
蜀主 30 nr
蜀君 30 nr
关羽 80 nr
关云长 60 nr
云长 50 nr
关公 50 nr
张飞 80 nr
张翼德 60 nr
翼德 50 nr
赵云 80 nr
子龙 50 nr
赵子龙 50 nr
常山赵云 50 nr
赵将军 30 nr
马超 60 nr
马孟起 50 nr
孟起 40 nr
黄忠 60 nr
黄汉升 50 nr
黄老将 40 nr
黄老将军 50 nr
姜维 60 nr
魏延 60 nr
庞统 60 nr
凤雏 40 nr
徐庶 60 nr
徐元直 40 nr
许褚 50 nr
典韦 50 nr
夏侯惇 50 nr
夏侯渊 50 nr
张辽 60 nr
张郃 50 nr
庞德 50 nr
严颜 50 nr
法正 50 nr
张松 50 nr
庞德公 40 nr
诸葛瑾 40 nr
诸葛恪 40 nr

; ═════════════════════════════════════════════
; 3. 杨家将
; ═════════════════════════════════════════════
杨四郎 80 nr
杨延辉 80 nr
杨延昭 60 nr
杨延嗣 60 nr
杨宗保 60 nr
杨令公 60 nr
佘太君 60 nr
穆桂英 80 nr
铁镜公主 60 nr
萧太后 60 nr
寇准 50 nr
潘洪 50 nr

; ═════════════════════════════════════════════
; 4. 包公 / 公案
; ═════════════════════════════════════════════
包拯 80 nr
包公 60 nr
包大人 50 nr
秦香莲 80 nr
陈世美 80 nr
韩琦 30 nr

; ═════════════════════════════════════════════
; 5. 才子佳人 / 苏三 / 王宝钏
; ═════════════════════════════════════════════
王宝钏 80 nr
薛平贵 80 nr
代战公主 60 nr
苏三 80 nr
王金龙 80 nr
崇公道 40 nr
李隆基 80 nr
杨玉环 80 nr
唐明皇 60 nr
唐玄宗 60 nr
项羽 80 nr
楚霸王 60 nr
虞姬 80 nr
程婴 80 nr
屠岸贾 80 nr
赵盾 60 nr
赵武 50 nr

; ═════════════════════════════════════════════
; 6. 水浒 / 其它
; ═════════════════════════════════════════════
林冲 80 nr
鲁智深 80 nr
高俅 60 nr
武松 80 nr
潘金莲 60 nr
西门庆 60 nr
蔺相如 80 nr
廉颇 80 nr
伍子胥 80 nr
赵高 60 nr
李逵 60 nr
宋江 60 nr

; ═════════════════════════════════════════════
; 7. 行当与脚色（完整保留）
; ═════════════════════════════════════════════
老生 30 n
小生 30 n
武生 30 n
红生 30 n
青衣 30 n
正旦 30 n
花旦 30 n
刀马旦 30 n
武旦 30 n
老旦 30 n
彩旦 30 n
大花脸 30 n
二花脸 30 n
铜锤花脸 30 n
架子花脸 30 n
武净 30 n
文丑 30 n
武丑 30 n
丑角 30 n
龙套 20 n
跑龙套 20 v

; ═════════════════════════════════════════════
; 8. 表演程式与动作（高频，须保留完整）
; ═════════════════════════════════════════════
起霸 20 v
走边 20 v
趟马 20 v
圆场 20 v
亮相 20 v
云手 20 v
山膀 20 v
吊毛 20 v
抢背 20 v
僵尸 20 v
叫板 20 v
定场诗 20 n
自报家门 20 i
打背躬 20 i
哭头 20 n
叫头 20 n
急急风 20 n
四击头 20 n
拉山膀 20 v

; ═════════════════════════════════════════════
; 9. 高频惯用语 / 情感词
; ═════════════════════════════════════════════
可恨 10 a
可叹 10 a
可怜 10 a
可惜 10 a
可恶 10 a
可笑 10 a
可怕 10 a
冤家 10 n
冤枉 10 n
我的夫 10 i
万岁 15 n
万岁爷 15 n
千岁 15 n
娘娘 15 n
驸马 15 n
且慢 10 d
看剑 10 i
起兵 15 v
撤兵 15 v
回朝 15 v
退朝 15 v
见驾 15 v
开恩 15 v
饶命 15 v
团圆 15 v
发配 15 v
招赘 15 v
私订终身 15 i
后花园 15 n
传柬 15 v
赠金 15 v
落难 15 v
高中 15 v
赴考 15 v
扫北 15 v
征西 15 v
征东 15 v
平定 15 v
镇守 15 v
探母 15 v
祭奠 15 v
托兆 15 v
还魂 15 v
显圣 15 v
讨敌骂阵 15 i
点将 15 v
出征 15 v
请罪 15 v
辞行 15 v
请缨 15 v
搬兵 15 v

; ═════════════════════════════════════════════
; 10. 宫廷与官职称谓
; ═════════════════════════════════════════════
朝廷 15 n
殿下 15 n
丞相 15 n
军师 15 n
都督 15 n
水军都督 15 n
太师 15 n
元帅 15 n
先行官 15 n
太守 15 n
圣旨 15 n
尚方宝剑 15 n
金殿 15 n
后宫 15 n
御花园 15 n
御书房 15 n
龙位 15 n
龙颜 15 n
龙袍 15 n
凤冠 15 n
凤袍 15 n
主上 15 n
宗兄 15 n

; ═════════════════════════════════════════════
; 11. 地名（典型剧情发生地）
; ═════════════════════════════════════════════
祁山 30 ns
西城 30 ns
空城 20 ns
白帝城 30 ns
新野 30 ns
汉中 30 ns
成都 30 ns
赤壁 30 ns
五丈原 30 ns
街亭 30 ns
博望 30 ns
华容 30 ns
襄阳 30 ns
樊城 30 ns
许昌 30 ns
长安 30 ns
洛阳 30 ns
南阳 30 ns
徐州 30 ns
荆州 30 ns
东吴 30 ns
西凉 30 ns
番邦 30 n
雁门关 30 ns
潼关 30 ns
玉门关 30 ns
燕京 30 ns
京城 20 ns
都城 20 ns
皇宫 20 ns

; ═════════════════════════════════════════════
; 12. 关键道具 / 信物
; ═════════════════════════════════════════════
锦囊 15 n
锦囊妙计 15 i
令箭 15 n
将令 15 n
军令状 15 n
免死牌 15 n
免死金牌 15 n
丹书铁券 15 n
玉佩 15 n
玉玺 15 n
传国玉玺 15 n
龙凤帕 15 n
鸳鸯佩 15 n
书信 15 n
家书 15 n
血书 15 n
诏书 15 n

; ═════════════════════════════════════════════
; 13. 主题关键词专名（与 theme.json keywords 对齐，确保 jieba 不切碎、词性合规）
; ═════════════════════════════════════════════

; --- 朝堂奏对 ---
上殿 15 v
退朝 15 v
上朝 15 v
朝廷 15 n
朝堂 15 n
朝会 15 n
金殿 15 n
丹墀 15 n
上奏 15 v
启奏 15 v
面奏 15 v
本奏 15 v
见驾 15 v
朝见 15 v
朝拜 15 v
领旨 15 v
接旨 15 v
谢恩 15 v
恭迎 15 v
见君 15 v
册封 15 v
钦定 15 v
谕旨 15 n
诏书 15 n
圣旨 15 n
龙颜 15 n
百官 15 n

; --- 计策谋略 ---
妙计 15 n
谋略 15 n
计策 15 n
锦囊 15 n
锦囊妙计 15 i
中计 15 v
识破 15 v
巧计 15 n
奸计 15 n
妙策 15 n
令箭 15 n
将令 15 n
暗号 15 n
诈降 15 v
诈败 15 v
用兵 15 v
排兵 15 v
布阵 15 v
破阵 15 v
